#NAME?,NIKKEI 225 STOCK AVERAGE - PRICE INDEX,MSCI JAPAN - PRICE INDEX,TOPIX - PRICE INDEX,MSCI HONG KONG - PRICE INDEX,S&P HONG KONG BMI - PRICE INDEX,HANG SENG - PRICE INDEX,KOREA SE KOSPI 200 - PRICE INDEX,MSCI KOREA - PRICE INDEX,KOREA SE COMPOSITE (KOSPI) - PRICE INDEX
4/21/2000,173.22,9.309,15.51,1041.865,28.97,1973.02,0.09,0.177,0.69
4/24/2000,175.28,9.521,15.75,1041.854,28.963,1973,0.08,0.172,0.67
4/25/2000,172.84,9.525,15.75,1041.278,28.829,1974.74,0.08,0.169,0.67
4/26/2000,170.24,9.435,15.66,1039.509,28.651,1955.1,0.08,0.165,0.64
4/27/2000,169.38,9.348,15.46,1057.842,28.855,1950.66,0.08,0.161,0.62
4/28/2000,166.31,9.224,15.26,1072.23,29.446,1992.4,0.08,0.171,0.65
5/1/2000,169.06,9.417,15.57,1072.257,29.447,1992.45,0.08,0.171,0.65
5/2/2000,169.35,9.455,15.64,1067.172,29.847,2030.67,0.09,0.177,0.68
5/3/2000,169.07,9.439,15.61,1055.371,29.425,1999.7,0.09,0.176,0.68
5/4/2000,170.65,9.527,15.76,1035.903,28.871,1965.9,0.09,0.175,0.68
5/5/2000,169.78,9.479,15.68,1030.452,28.819,1960.08,0.09,0.175,0.68
5/8/2000,167.21,9.427,15.59,1006.877,28.127,1913.03,0.09,0.181,0.69
5/9/2000,163.04,9.234,15.25,991.583,27.836,1897,0.09,0.178,0.69
5/10/2000,161.72,9.229,15.16,974.381,27.254,1860.5,0.09,0.177,0.68
5/11/2000,155.47,8.987,14.74,974.39,27.247,1860.51,0.09,0.177,0.68
5/12/2000,159.56,9.155,14.99,1018.185,28.348,1939.99,0.08,0.172,0.66
5/15/2000,158.13,9.088,14.86,1009.14,28.128,1910.47,0.08,0.171,0.65
5/16/2000,159.88,9.114,14.97,1026.017,28.708,1946.07,0.09,0.176,0.67
5/17/2000,158.98,9.058,14.95,1012.886,28.264,1903.16,0.08,0.172,0.65
5/18/2000,156.46,9.019,14.75,985.676,27.546,1838.29,0.08,0.17,0.64
5/19/2000,157.68,9.056,14.76,989.361,27.833,1858.26,0.08,0.172,0.65
5/22/2000,152.93,8.763,14.21,965.737,27.089,1814.87,0.08,0.163,0.61
5/23/2000,152.99,8.825,14.25,969.563,27.119,1829.75,0.08,0.16,0.6
5/24/2000,149.51,8.744,14.02,953.156,26.554,1788.29,0.08,0.159,0.6
5/25/2000,150.97,8.804,14.16,940.472,26.218,1786.6,0.08,0.163,0.62
5/26/2000,149.69,8.785,14.2,912.691,25.616,1761.1,0.07,0.151,0.58
5/29/2000,151.58,8.817,14.23,911.292,25.934,1793.45,0.07,0.151,0.58
